Character,ID,File,Context,English
"Dave","0","Room- Home","OnEnterRoomAfterFade","Gosh Durnit! My basement flooded again!","Gosh Durnit! My basement flooded again!",""
"Dave","41","Room- Home","OnEnterRoomAfterFade","I think I have a bucket 'round here somewhere...","I think I have a bucket 'round here somewhere...","If you were treating heart failure, you might consider using a Diuretic! This would improve urine output"
"Narr","30","Room- Home","OnEnterRoomAfterFade","Your bucket is over on the shelf. Click on it to add it to your inventory.","","The diuretic is over on the shelf. Click on it to add it to your inventory."
"Dave","3","Room- Home","OnEnterRoomAfterFade"," Not again!"
"Dave","2","Room- Home","OnLookAtHotspotDoor"," It's a door to the outside.","",""
"Dave","44","Room- Home","OnUseInvPropWater","Oh man... this is going to take forever.","",""
"Dave","45","Room- Home","OnUseInvPropWater","Maybe there's something at Doc's hardware store that can help.","",""
"Narr","28","Room- Home","OnUseInvPropWater","Click on the door to the right to leave your basement.","",""
"Dave","6","Room- Home","OnUseInvPropWater"," This bucket ain't gonna cut it...","","Looks like the patient will need more than a diuretic"
"Narr","2","Room- Home","OnUseInvPropWater","Congratulations! The water level has decreased. However, it is not enough...","",""
"Dave","4","Room- Home","OnUseInvPropWater","This is too hard! I think the handle is too short and the diameter of the hose is too small, I need to go back to the hardware store.","","The stroke volume isn't enough! What about afterload??"
"Dave","5","Room- Home","OnLookAtPropWater","That's a lot of water!","",""
"Narr","36","Room- Home","UpdateBlocking","Click the door to leave your basement.","",""
"Dave","46","Room- Home","UpdateBlocking"," Finally! We got that dang water outta my dang basement!","",""
"Dave","47","Room- Home","UpdateBlocking"," I sure hope that never happens again!","",""
"Narr","53","Room- Home","UpdateBlocking"," Two weeks later...","",""
"Narr","2","Room- Home","OnInteractPropPump","Congratulations! The water level has decreased. However, it is not enough...","",""
"Dave","4","Room- Home","OnInteractPropPump","This is too hard! I think the handle is too short and the diameter of the hose is too small, I need to go back to the hardware store.","","The stroke volume isn't enough! What about afterload??"
"Dave","31","Room- Home","OnInteractPropPump","This water ain't goin nowhere!"
"Dave","33","Room- Home","OnInteractPropPump","I'm gonna need a better pump."
"Dave","25","Room- Home","OnInteractPropPump","I'm pooped! I need some extra muscle.","",""
"Dave","26","Room- Home","OnInteractPropPump","I bet my friend Tony could help out, I should give him a call.","",""
"Narr","3","Room- Home","OnInteractPropPump","You've chosen the correct parts for the pump and the water level has decreased.","","By using the Large Handle, you have increased the stroke volume of the pump (heart)"
"Dave","7","Room- Home","OnInteractPropPump","Still not enough... I could use some extra hands.","","One of the ways to improve heart failure is to recruit more muscle with medication or other methods"
"Dave","8","Room- Home","OnInteractPropPump"," This isn't any better. I should try different parts.","","Physiologically speaking, what else can you do to improve heart function?"
"Tony","0","Room- Home","OnInteractCharacterTony","Here goes nothing!","",""
"Narr","4","Room- Home","OnInteractCharacterTony"," The recruited muscle has helped bring the water level down.","","Having your friends help in the basement is medically like recruitment of more heart muscle (improving pumping efficiency)"
"Tony","4","Room- Home","OnInteractCharacterTony"," Phew... I'm wiped out. Got any grub?","",""
"Dave","34","Room- Home","OnInteractCharacterTony"," Gee Tony, I haven't got any food"
"Tony","2","Room- Home","OnInteractCharacterTony"," Why don't you give that pizza place a call?"
"Tony","7","Room- Home","OnInteractCharacterTony"," I could eat an entire pie"
"Narr","34","Room- Home","OnInteractPropBucket","Bucket added to your toolbox.","",""
"Dave","42","Room- Home","OnInteractPropBucket"," There it is! Now I can scoop up some of this water.","",""
"Narr","32","Room- Home","OnInteractPropBucket"," Click on the bucket icon in your toolbox to select it.","",""
"Narr","60","Room- Home","OnInteractPropBucket","You also have a cell phone, which you can use to call the Hint Hotline."
"Dave","43","Room- Home","OnLookAtPropBucket"," There's my bucket! I can use that to scoop out the water.","","Medically, consider the bucket to be a Diuretic (It helps the kidneys get rid of excess fluid)"
"Dave","44","Room- Home","OnUseInvHotspotWindow","Oh man... this is going to take forever.","",""
"Dave","45","Room- Home","OnUseInvHotspotWindow","Maybe there's something at Doc's hardware store that can help.","",""
"Narr","37","Room- Home","OnUseInvHotspotWindow","Click on a space in the room to walk to it.","",""
"Dave","30","Room- Home","OnUseInvHotspotWindow"," This bucket aint going to cut it...","",""
"Dave","48","Room- Home","OnLookAtHotspotWindow"," It's a window. Yup.","",""
"Dave","49","Room- Home","OnLookAtHotspotBleach","It's bleach, fer cleanin' yer clothes.","",""
"Dave","51","Room- Home","OnLookAtHotspotSprayPaint","It's a can of Mach brand orange spray paint.","",""
"Dave","52","Room- Home","OnLookAtHotspotWashingMachine"," It's my trusty old washing machine.","",""
"Dave","35","Room- Home","OnLookAtHotspotWashingMachine"," Although at this point I probably could just throw some detergent in the water and make my whole basement the washing machine."
"Dave","53","Room- Home","OnLookAtHotspotBoiler","This clunker of a boiler is from the 1940's.","",""
"Dave","36","Room- Home","OnLookAtHotspotBoiler","  It works, but it makes the worst darn noises you've ever dun heard."
"Dave","54","Room- Home","OnLookAtHotspotTV","Haven't used this in a while.","",""
"Dave","37","Room- Home","OnLookAtHotspotTV","For all you kids out there, this is what TV's looked like in the stone age."
"Dave","55","Room- Home","OnLookAtHotspotCouch"," I can't believe I thought this looked good.","",""
"Tony","5","Room- Home","OnUseInvCharacterTony","Pizza AND beer?!","",""
"Tony","6","Room- Home","OnUseInvCharacterTony","Just what I needed!","",""
"Dave","38","Room- Home","OnInteractPropBox"," It's beautiful!"
"Dave","39","Room- Home","OnInteractPropBox","What's this?"
"Narr","54","Room- Home","OnInteractPropBox","Repair Kit added to your toolbox.","",""
"Dave","40","Room- Home","OnInteractPropElectricPump","Like a charm!"
"Narr","61","Room- Home","OnInteractPropElectricPump","6 months later..."
"Dave","113","Room- Home","OnInteractPropElectricPump"," Another flood?"
"Dave","114","Room- Home","OnInteractPropElectricPump","Nothing my Pump-o-matic 5000 can't handle!"
"Dave","115","Room- Home","OnInteractPropElectricPump"," Phew!"
"Dave","116","Room- Home","OnInteractPropElectricPump"," The pump works again!"
"Dave","117","Room- Home","OnInteractPropElectricPump","Seriously?!"
"Dave","118","Room- Home","OnInteractPropElectricPump","It's broken!"
"Dave","119","Room- Home","OnInteractPropElectricPump"," It looks like there's a rusty washer."
"Dave","120","Room- Home","OnInteractPropElectricPump"," I'd better replace the washer."
"Dave","121","Room- Home","OnInteractPropElectricPump"," Whoops, forgot to tighten the washer!"
"Narr","62","Room- Home","OnUseInvPropElectricPump"," Rusty washer removed."
"Dave","122","Room- Home","OnUseInvPropElectricPump"," Where's that new washer?"
"Dave","123","Room- Home","OnUseInvPropElectricPump"," That should do it!"
"Dave","124","Room- Home","OnUseInvPropElectricPump"," Whoop, gotta take that rusty old washer off before I can put this shiny new one on."
"Narr","63","Room- Home","OnUseInvPropElectricPump"," New washer placed on pump."
"Dave","125","Room- Home","OnLookAtPropElectricPump"," Ain't she a beauty?"
"Dave","32","Room- Map","OnLookAtPropHose"," What a trip!","",""
"Narr","7","Room- Map","OnLookAtPropHardware"," The Hardware Store","",""
"Narr","8","Room- Map","OnLookAtPropHome"," Home","",""
"Narr","9","Room- Map","OnLookAtPropNeighbor1"," Jim's House","",""
"Dave","10","Room- Hardware","OnInteractHotspotDoor","Let's take this back home and see how it works!","",""
"Dave","11","Room- Hardware","OnInteractHotspotDoor","I ain't leavin' til I've got somethin' to get that water outta my basement!","I ain't leavin' til I've got somethin' to get that water outta my basement!",""
"Narr","11","Room- Hardware","OnInteractPropBeerPack"," Beer has been added to your inventory.","",""
"Dave","61","Room- Hardware","OnLookAtHotspotPaint","Used paint?! For only a dollar?! What a steal!","",""
"Dave","62","Room- Hardware","OnLookAtHotspotQuestionBox","I wonder what's in there.","",""
"Dave","63","Room- Hardware","OnLookAtHotspotPokeball","Poke a man? Now why would I do that?","",""
"Dave","64","Room- Hardware","OnInteractHotspotPokeball","Poke a man? Now why would I do that?","",""
"Dave","65","Room- Hardware","OnInteractHotspotQuestionBox","I wonder what's in there.","",""
"Dave","66","Room- Hardware","OnInteractHotspotPaint","Used paint?! For only a dollar?! What a steal!","",""
"Dave","67","Room- Hardware","OnLookAtHotspotPOWBlock"," Looks POWerful.","",""
"Dave","68","Room- Hardware","OnInteractHotspotPOWBlock"," Looks POWerful.","",""
"Dave","69","Room- Hardware","OnLookAtHotspotGoldRing","Blue rodent not included.","",""
"Dave","70","Room- Hardware","OnInteractHotspotGoldRing","Blue rodent not included.","",""
"Dave","71","Room- Hardware","OnLookAtHotspotPipeBomb","Oh. That's a pipe bomb.","",""
"Dave","72","Room- Hardware","OnInteractHotspotPipeBomb","Oh. That's a pipe bomb.","",""
"Dave","73","Room- Hardware","OnLookAtHotspotBusterSword","Lugging that hunk of iron around would be a work out in itself.","",""
"Dave","74","Room- Hardware","OnInteractHotspotBusterSword","Lugging that hunk of iron around would be a work out in itself.","",""
"Dave","75","Room- Hardware","OnLookAtHotspotGhost","Why so glum, chum?","",""
"Dave","76","Room- Hardware","OnInteractHotspotGhost","Why so glum, chum?","",""
"Dave","77","Room- Hardware","OnLookAtHotspotNuts","A box of peanuts, walnuts, and pistachios.","",""
"Dave","79","Room- Hardware","OnLookAtHotspotBolts","It's filled to the brim with lightning bolts.","",""
"Dave","81","Room- Hardware","OnLookAtHotspotBanjosAndKazoos","It's filled with banjos and kazoos. My favorite instruments!","",""
"Dave","83","Room- Hardware","OnLookAtHotspotRedPaint","A can of red paint. Definitely my favorite color.","",""
"Dave","85","Room- Hardware","OnLookAtHotspotOrangePaint","A can of orange paint. Definitely my favorite color.","",""
"Dave","87","Room- Hardware","OnLookAtHotspotYellowPaint","A can of yellow paint. Definitely my favorite color.","",""
"Dave","89","Room- Hardware","OnLookAtHotspotGreenPaint","A can of green paint. Definitely my favorite color.","",""
"Dave","91","Room- Hardware","OnLookAtHotspotBluePaint","A can of blue paint. Definitely my favorite color.","",""
"Dave","93","Room- Hardware","OnLookAtHotspotPurplePaint","A can of purple paint. Definitely my favorite color.","",""
"Dave","95","Room- Hardware","OnLookAtHotspotLampOil","Lamp Oil.","",""
"Dave","97","Room- Hardware","OnLookAtHotspotRope","It's rope. What did you expect?","",""
"Dave","99","Room- Hardware","OnLookAtHotspotBombs","I hope he has the correct permits to sell these.","",""
"Dave","101","Room- Hardware","OnLookAtHotspotSign","Hey! I'm no chump...","",""
"Dave","102","Room- Hardware","OnLookAtHotspotSign","Am I?","",""
"Dave","12","Character- Dave","OnLookAt"," My lucky day...","",""
"Dave","13","Character- Tony","OnLookAt"," It's my buddy Tony. Maybe he can help.","",""
"Dave","14","Character- HardwareClerk","OnLookAt","There's Doc, the titular owner of Doc's Hardware","",""
"HardwareClerk","0","Character- HardwareClerk","OnInteract","Good luck.","",""
"Dave","16","Item- CellPhone","OnLookAtInventory"," Maybe I could call my friend Jim to come help out. ","","Medically, this is getting more muscle recruited (improved cardiac pumping efficiency). Pharmacologically this is like Digoxin or Entresto (add generic name too)"
"Dave","17","Item- CellPhone","OnLookAtInventory"," Thats my cell phone. ","",""
"Narr","33","Item- Bucket","OnInteractInventory"," Click on the water with the bucket to scoop it up.","",""
"Dave","126","Item- RepairKit","OnInteractInventory"," Oh boy!"
"Dave","127","Item- RepairKit","OnInteractInventory"," A washer and a wrench!"
"HardwareClerk","1","Dialog- DialogWithClerk","Option1","Hello valued customer, what can I do for you?","Hello valued customer, what can I do for you?",""
"Dave","18","Dialog- DialogWithClerk","Option1","My basement's flooded. Got anything to help with that'","My basement's flooded. Got anything to help with that'",""
"HardwareClerk","2","Dialog- DialogWithClerk","Option1","We've got a special Pumps 4 Chumps promotion going on! It'll be sure to unflood your flood, no money back guarantee!","We've got a special Pumps 4 Chumps promotion going on! It'll be sure to unflood your flood, no money back guarantee!",""
"Dave","19","Dialog- DialogWithClerk","Option1","I hate everything you just said, but I guess I'll take it.","I hate everything you just said, but I guess I'll take it.",""
"Narr","12","Dialog- DialogWithClerk","Option1","Pump added to inventory","",""
"Dave","20","Dialog- DialogWithClerk","Option2","Cut the crap, carpetbagger! That pump didn't do squat!","Cut the crap, carpetbagger! That pump didn't do squat!",""
"HardwareClerk","3","Dialog- DialogWithClerk","Option2","I'm so sorry to hear that! I recommend upgrading to a higher end model handle and hose. We're running a 25% off special on all pump accessories!","I'm so sorry to hear that! I recommend upgrading to a higher end model handle and hose. We're running a 25% off special on all pump accessories!",""
"HardwareClerk","4","Dialog- DialogWithClerk","Option2","We have handles and hoses in stock.","",""
"Dave","21","Dialog- BuyOptions","Option1","I'll take a medium handle.","",""
"Narr","13","Dialog- BuyOptions","Option1","Medium Handle added to  your inventory.","",""
